Review,Categories
"It doesn't work on all sites, for example: on this one from chome strore",Negative Feedback or Complaints
"it doesn't work.",Negative Feedback or Complaints
"Not running",Negative Feedback or Complaints
"Does not execute",Negative Feedback or Complaints
"Useful and overwhelming in using UX in Front End programming at all levels.",Positive Feedback
"not working",Negative Feedback or Complaints
"HELP!!!",Negative Feedback or Complaints
"Useful but needs work in the exporting function.",Feature Requests
"MORRALLLAAAAAAAAAAAA",Negative Feedback or Complaints
"it doesn't work",Negative Feedback or Complaints
"Does not work... When I click - nothing happens...",Negative Feedback or Complaints
"So cool and easy to work",Positive Feedback
"Not working",Negative Feedback or Complaints
"Super useful as a UX designer.",Positive Feedback
"It wont even export, waste of time.",Negative Feedback or Complaints
"I touch it and nothing opens...",Negative Feedback or Complaints
"Nothing happens when clicking on the icon. ***UPDATE***: I quit Chrome and reopened and now it appears to be working. There's a lot a like about it, but unfortunately its missing a few UX points that overshadow what's helpful about it. 1. Can't edit custom list items once they've been saved. 2. Can't rearrange the order of the items in a custom list 3. Can't add custom items to the pre-existing template or easily copy them into a new project.",Feature Requests
"Doesn't work",Negative Feedback or Complaints
"This is very useful and helpful, it helps with quick analysis and feedbacks.",Positive Feedback
"Seems really interesting but nothing happens when I click on it.",Negative Feedback or Complaints
"It was great until I exported my list and find out it didn't save any of my screenshots... also, why it exports in Docx file, what about png/pdf?",Feature Requests
"Same here - Extension button has no effect when I click on it. Chrome version Version 70.0.3538.110 on Windows...",Versioning & Updates
"Extension button has no effect when I click on it. Chrome version Version 70.0.3538.110 on Mac. Shame... looks like it's really useful!",Versioning & Updates
"Don't work",Negative Feedback or Complaints
"Don't work.. When I click, nothing happen",Negative Feedback or Complaints
"Doesn't work",Negative Feedback or Complaints
"Doesn't work",Negative Feedback or Complaints
"dont works",Negative Feedback or Complaints
"Very useful! :)",Positive Feedback
"love it except for some reason today my work from the whole morning wont export. Any suggestions? Tried refreshing and nothing seems to prompt it to export. Any help would be appreciated.",Feature Requests
"It seems very helpful, but it could not work when I click it. Do not know why.",Negative Feedback or Complaints
"It's a nice a useful extension to give a feedback for a website. Would be also cool to have ability to not only choose the <div> to annotate, but also make custom screenshots (i.e. with screenshot savers - draw a square).",Feature Requests
"Havent quite used it completely yet but I'm rating it because I'm excited it's here!",Positive Feedback
"So far so good. Quite useful. Would love a way to be able to save and come back to where I left off. As well as, working with mobile view in chrome development.",Feature Requests
"Brilliant app, I liked how it produced a proper word doc. Only bad thing is that I enabled the option for 'Allow access to file URLS' but it did not work",Negative Feedback or Complaints
"It's super practical, thanks for this tool! :) Some ideas for improvement: - It would be necessary to be able to take several screenshots of the same problem. - To be able to visually annotate the screenshots - To be able to save an analysis to come back to it later - To be able to choose the language",Feature Requests
"Awesome, I like it.",Positive Feedback
"Not very useful.",Negative Feedback or Complaints
"doesn't work",Negative Feedback or Complaints
"great tool!",Positive Feedback
"March 17 and still not working. Too bad. It looked very helpful",Negative Feedback or Complaints
"Not working in most recent version of Chrome",Versioning & Updates
"very useful, saves time!",Positive Feedback
"Doesn't work. I have the latest version of Chrome.",Versioning & Updates
"I really liked the Extension!",Positive Feedback
"great",Positive Feedback
"I like the concept and overall is a pretty nice tool. It will definitely quicken the documentation process. However, my only concern is that it is a buggy and does not work 5 out of ten times. I keep clicking the icon and nothing really happens. I would give it a 5 star if this was not an issue.",Negative Feedback or Complaints
"Great extension for evaluating websites. Unfortunatelly, it doesn't allow the evaluation of PDFs opened in chrome, but still, it's a great tool!",Feature Requests
"Very usefull. Thanks",Positive Feedback
"Great tool. A few tiny little bugs. But, it makes the process so much easier that it's not hard to overlook them.",Positive Feedback
"Fantastic",Positive Feedback
"Very good tool, easy to use, captures the screen, a quick way to test the usability and captures the issues.. Just need to attach the Word Doc and send it back to PD team to address the issue. Chris, Thank you",Positive Feedback
"very useful to provide quick analysis",Positive Feedback
"For a reason it doesn't work. Too bad it sounded interesting.",Negative Feedback or Complaints
"excellent tool",Positive Feedback
"WHY NOT PDF!!!! WHY",Feature Requests
"Don't expect automatic miracles, but this is really useful!",Positive Feedback
