Review,Categories
"My mistake for not looking for reviews. This site can only give you a very simple error filled product of video generation for 4 to 5 seconds. That's with a $101.76 subscription for a year. Do not waste a penny. It is a scam and worthless. You can't trust anything anymore. I gave them a chance for 5 days, it's truly worthless. I am an idiot for not researching more. Avoid.Avoid.",Negative Feedback or Complaints
"This company is a complete scam. Their ai program does work, but they'll attempt to scam you out of more money if you attempt to upgrade anything. The customer service is utterly deplorable, incompetent, and literally makes no attempt to fix any issues. Avoid this platform, so many better options.",Negative Feedback or Complaints
"It is not accurate and it is not free. I asked three questions. The first was wrong, the answer should have been 6 instances, but indicated only 4. When challenged, the AI apologized. The second question, it did not answer. The third question it asked that I sign up for $10 a month.",Negative Feedback or Complaints
"They cancelled my annual subscription after 1 month of course they charged me for the whole year and are ghosting me in support. AVOID AT ALL COSTS!",Negative Feedback or Complaints
"Eespecially in excel it gives errors or I can get meaningless errors when I send a photo. However, when I write to support, they get back to me and try to solve the problem. Considering the price, it is very good.",Negative Feedback or Complaints
"Caution, no AI video included in the subscription",Feature Requests
"Got to Yeschat whilst sourcing online sewing patterns. All it could produce was useless rectangles though it seemed to understand what I was after. So a waste of time, I have deleted all. I did try to e mail the company but nothing came back. If you have a tenner to waste then give it a go but don't hope for much.",Negative Feedback or Complaints
"Hello Everyone, Another genuince review from me and this time, based on my circumstances, I amend the no. of stars to 5.",Usability & Workflow
"Hello Everyone, Unfortunately, I had to write the below review due to rush of blood but I regret now and I am going to give Yeschat a go again since atleast their support is very good in responding.",Positive Feedback
"Its a Scam. Initially the AI will come out with all the Bells and Whistles but after one or two days of reset of the no. of chats, the AI will come out with Bullshit results every Tom, D*** and Harry can understand OR the Admin will downgrade the AI at the background. Total Scam. PLEASE DO NOT SUBSCRIBE. YOU WILL LOSE YOUR MONEY, what ever the subscription level is.",Negative Feedback or Complaints
"Signed up and within 24 hours i started getting errors when using. I emailed suport with no response",Negative Feedback or Complaints
"All mine were copied within days. I put a lot of effort into my custom GPTs, had a website, the whole nine yards.",Negative Feedback or Complaints
"One of the biggest wastes of time and money ever. Now I just want to forget the whole thing.",Negative Feedback or Complaints
"I have the Pro plan which is the most basic paid subscription. And honestly, it's good. Sometimes the GPT's can respond a bit slow. I mainly only use it for one GPT there but it does what I need and the customer service has also been good whenever I've emailed them about something.",Positive Feedback
"I hate using YesChat!!! I've tried to create a song but the AI chokes every time!! See image. This solution stinks!!! it is nothing like SUNO.",Negative Feedback or Complaints
"YesChat.ai offers a highly customizable interface, allowing users to tailor the layout and controls to fit their personal or business needs.",Usability & Workflow
"The platform supports multiple languages, enabling users from different linguistic backgrounds to interact and use the tool effectively.",Usability & Workflow
"YesChat.ai prioritizes user data security with advanced encryption methods, ensuring all interactions and uploads remain confidential.",Negative Feedback or Complaints
"Users can collaborate in real-time, share insights, and work on projects together, enhancing productivity and teamwork.",Performance & Accuracy
"Provides detailed analytics on user interactions and engagements, helping to refine strategies and improve outcomes.",Positive Feedback
"Due to its extensive features and AI integrations, new users may find YesChat.ai's interface overwhelming and difficult to navigate initially.",Feature Requests
"The advanced AI technologies require significant processing power, which might slow down devices with lower specifications.",Negative Feedback or Complaints
"The vast array of over 200,000 specialized GPTs can make it challenging for users to identify the most suitable AI for their specific needs.",Usability & Workflow
"While YesChat.ai offers extensive customization, new users might experience a generic interaction until the system adapts to their preferences.",Feature Requests
"Despite advanced integrations, AI-generated responses can sometimes be unpredictable or contextually inappropriate, requiring user vigilance.",Negative Feedback or Complaints
"There used to be a great free site, now they've made everything paid, I've moved on to another one",Positive Feedback
"YesChat.ai has an average to good trust score. It seems that yeschat.ai is legit and safe to use and not a scam website.",Negative Feedback or Complaints
"The review of yeschat.ai is positive. The positive trust score is based on an automated analysis of 40 different data sources we checked online such as the technology used, the location of the company, other websites found on the same web server, etcetera.",Positive Feedback
"Websites that score 80% or higher are in general safe to use with 100% being very safe. Still we strongly recommend to do your own vetting of each new website where you plan to shop or leave your contact details.",Positive Feedback
"There have been cases where criminals have bought highly reliable websites. You can use our article",Negative Feedback or Complaints
"This website is receiving a lot of traffic according to Tranco (30).",Positive Feedback
"This website offers payment methods which allow you to get your money back.",Positive Feedback
"According to the SSL check the certificate is valid.",Positive Feedback
"DNSFilter considers this website safe.",Positive Feedback
"The website's owner is hiding his identity on WHOIS using a paid service.",Negative Feedback or Complaints
"Several spammers and scammers use the same registrar.",Negative Feedback or Complaints
"Several, mainly negative reviews were found for this site.",Negative Feedback or Complaints
