Review,Categories
"wheres the new version? i reinstall its still old, the notification said i use previous version",Versioning & Updates
"Why PWA check is gone?",Feature Requests
"Highly recommend this SEO friendly tool for your website", Positive Feedback
"I do not have the PWA option in any browser and with any PWA web site.",Feature Requests
"There is no pwa test option showing in my pc only four options it is showing performance,seo,accessibilty,best practice, is there any other thing we have to change in setting if any one has the idea of this problem please tell me","Feature Requests, Performance & Accuracy"
"Where is PWA test?",Feature Requests
"Nice tool to get in-depth analysis for website in desktop & mobile mode. Also provides one to one suggestion for issues solving.", Positive Feedback
"Good extension but I honestly prefer to just use the chrome dev tools instead without an extra extension, nonetheless cant really complain didn't have any issues just not much reason to keep it when its built in by pressing F12..?",Usability & Workflow
"Great Tool!",Positive Feedback
"I love this! Whenever a website is slow, I can see if it's my issue or if the website is acting up.",Positive Feedback
"Could it be that the lighthouse score is based on network latency and that you're experiencing some type of cold start on your http service?",Versioning & Updates
"I had a client complain once because their pagespeed score was in the low 40's. I ignored the email since this was an old site (built before pagespeed existed) and a client I fired for multiple reasons a few years back. Anyhow, they emailed to thank me the next day because the score was in the 90's. I didn't change a thing, nor did anyone else. [deleted] • 3y ago They should have tipped you for ""the extra work"" haha.. 1 more 1 more More replies","Usability & Workflow, Versioning & Updates"
"They should have tipped you for ""the extra work"" haha..", Usability & Workflow
"Maybe your servers are inconsistent? check the details to see which resources are taking the longest.",Performance & Accuracy
"If you cannot consistently get 90+ scores, you need to optimize something. Might be server side, might be client side.",Performance & Accuracy
"I have done this many times and can get to 100 points with a bit of effort.", Performance & Accuracy
"Also i.e. IIS (Windows webserver) does not gzip compress static files unless they are accessed often - and other stuff like that. So everytime you need to run a Lighthouse test, press F5 a couple of times on the page before running the tool.", Feature Requests
"Lighthouse measures real performance - so if you check an online website, and it sometimes has load from other visitors, your score will be affected because of lacking performance. If you cannot consistently get 90+ scores, you need to optimize something. Might be server side, might be client side. I have done this many times and can get to 100 points with a bit of effort. Also i.e. IIS (Windows webserver) does not gzip compress static files unless they are accessed often - and other stuff like that. So everytime you need to run a Lighthouse test, press F5 a couple of times on the page before running the tool. Gin-Chan • 3y ago Pressing F5 to warm up a cache or anything like that is a bad idea. You're just fooling yourself with that, if the cold load for a given page is slow, this is what your visitors will experience. Test under the worst possible conditions (empty server & client cache), then use the results to inform your optimization strategy. If the server doesn't gzip content where appropriate, go fix the server.","Performance & Accuracy, Versioning & Updates, Negative Feedback or Complaints"
"Pressing F5 to warm up a cache or anything like that is a bad idea. You're just fooling yourself with that, if the cold load for a given page is slow, this is what your visitors will experience. Test under the worst possible conditions (empty server & client cache), then use the results to inform your optimization strategy. If the server doesn't gzip content where appropriate, go fix the server.","Performance & Accuracy, Versioning & Updates, Negative Feedback or Complaints"
"If you want to check for actual page speed then use https://pagespeed.web.dev/.", Feature Requests
"That will grade your page speed as a Google Bot would, which is far more useful to know if you'll be indexed properly or not.", Performance & Accuracy
"Don't use the debug tools lighthouse scores, those are mainly for checking if you have bad imports or any accessibility issues. If you want to check for actual page speed then use https://pagespeed.web.dev/. That will grade your page speed as a Google Bot would, which is far more useful to know if you'll be indexed properly or not. 10 more replies 10 more replies More replies",Negative Feedback or Complaints
"You have to combine different versions of lighthouse. Some are synthetic some are real. I usually run bunch on web.dev, then some on my machine, mixed with gtmetrix and page speed insight.",Versioning & Updates
"I did a video about Lighthouse earlier this year. I think it's great. It definitely found problems with my website and I fixed them.",Positive Feedback
"The numbers might fluctuate on a bunch of things. One... are you using http or https when you enter the URL? If your site redirects to https, you could lose points because of the redirection. If you're not using https, then you're going to lose points.", Performance & Accuracy
"It's hard to know if it's a problem with lighthouse without seeing the report. I've seen fluctuation of a few percentage points. But that big of a range is probably something else.",Usability & Workflow
