Review,Categories
"For me, it is UXtweak - very affordable, easy to use and you get a lot of extra research tools you can use anytime you need them (card sorts, tree tests, first click test, website and mobile app usability testing etc.)",Usability & Workflow
"I have tried out UXTweak. Here's what I like: I like the control you have in specifying the tasks and integrations with Figma. Survey tool is actually pretty capable. Monthly subscription, since only part of my job is UX (I do CMI now, which is basically product focused marketing research, or ""UX"" lol). I'd rather pay 30% more for monthly. Obviously, the capability to test post-launch apps was huge for me but I don't think I can specify the tasks so I doubt it gathers metrics for me. The UI is a bit weird/confusing but not annoyingly so.",Negative Feedback or Complaints
"I also looked at UXTweak, I thought functionally it had the best features, but was the more expensive and less pretty option.",Feature Requests
"I would suggest UXtweak - most tools offered (card sorting, tree testing, prototype testing, mobile app testing, etc.) and after Maze increased prices last year I think it is the best price/value option on the market at the moment.",Positive Feedback
"Hi I've been using UXtweak for past months, it has free trial which is limited but let me get the feel for the tool and than they have paid subscription, I usually use it only to test my website for photography so I sign up for a month, do the study and sign off. So far I'm satisfied with the tool and its usability for my psuedo researches for my personal purposes.",Positive Feedback
"We trialed both of them and ended up choosing UXtweak. What I can say about both is that they have great account/customer success teams, huge difference when compared to UT.",Positive Feedback
The reason we ended up with UXtweak was mostly because A) we found the quality of the panel to be much better (also they had more participants available) B) moderated research tool (we do a lot of user interviews)",Positive Feedback
"Overall I can recommend UXtweak if you are looking to replace UT/UZ, there are some minor things like the user interface being pretty clunky but when it comes to value/cost I think it is the option that makes sense.",Usability & Workflow
"When I was choosing tools I evaluated UserTesting vs UXtweak vs Userlytics. We dropped UT very quickly due to price, then had a trial of UXtweak and Userlytics, ended up choosing UXtweak and I am satisfied.",Positive Feedback
"Lot of folks mentioned Maze - which definitely is a good option but it got a lot more expensive lately. I would recommend looking at UXtweak",Positive Feedback
"UXtweak, after trying them for the first time I've stopped using other tools. They have all the features in one place and the prototype testing one is so easy to use",Usability & Workflow
"UXtweak. I have been using it for unmoderated studies for some time, and recently they've launched a prototype testing tool and it is great. I just copy a link to my Figma prototype, paste it to UXtweak and it imports everything, even the navigation flow",Positive Feedback
"I recently started using UXtweak and I must say, it has become an essential part of my UX workflow. The platform offers a comprehensive set of tools that cover all aspects of UX research, from card sorting to usability testing. It's incredibly user-friendly and has helped me gain valuable insights into my users' experiences.",Usability & Workflow
"UXtweak has been a game-changer for my UX research. The all-in-one platform provides everything I need to conduct thorough research on my users and their interactions with my product. The variety of testing features available is impressive, and the platform is very intuitive to use.",Positive Feedback
"I was approached by a team member at UXtweak to review their platform, and I'm glad I did. UXtweak offers a robust set of tools that have significantly improved my UX research process. The ability to conduct various tests, such as tree testing and first click tests, has provided me with deeper insights into user behavior.",Performance & Accuracy
"After trying out UXtweak, I can confidently say that it is one of the best UX research platforms available. The toolset is extensive and covers all the necessary aspects of UX research. The platform is easy to navigate, and the results have been invaluable in improving my product's user experience.",Usability & Workflow
"UXtweak has quickly become my go-to tool for UX research. The platform's comprehensive features, including usability testing and prototype testing, have made it easier for me to understand my users' needs and preferences. The insights gained from using UXtweak have been instrumental in enhancing my product's usability.",Performance & Accuracy
