Review,Categories
"Brilliant tool. I've used a few tools to complete UAT and this is far and above anything I have used, straightforward, effective and data output is brilliant. Definitely a tool that enhances cross collaboration and allows multiple uses to provided relevant feedback with pinpoint accuracy. In a world of hybrid working this allows everyone to get involved and make comments.",Usability & Workflow
"They ruined it",Negative Feedback or Complaints
"Great and convenient application",Positive Feedback
"note, suggestion, guideline are useless. i just want to leave a comment and link figma as a reference for devs",Negative Feedback or Complaints
"This app is helping me put together such a detailed review of a website. Very very helpful with the information it provides on the different guidelines as well as the tools to markup for the review.",Positive Feedback
"Super easy to collect and review feedbacks on live websites.",Positive Feedback
"A delightful and unique experience that allows me to keep my attention to details. At the same time, if needed, all the required information will be available with one click. With the help of this simple yet powerful tool, I can evaluate a large site in less than two hours, and at the same time, by creating priority and scoring, I can submit my comments and suggestions in any situation and show the report my stakeholders easily.",Performance & Accuracy
"I've started today and its so easy and practical to use. Next step, hope i can implement it with my team at work! Congrats and thanks to all the guys that developed this fantastic app.",Positive Feedback
"Very easy to use. I love the way we can mark comments and mention the principles. We can also create it as task and group it according to the priority.",Performance & Accuracy
"Great stuff",Positive Feedback
"I've been searching for a gret way to provide design feedback to the front developers at Skibble. This tool makes it super easy for me to highlight the section that needs to be fixed on our websites. Very effective for collaborative feedbacks",Performance & Accuracy
"I love this tool, It's so easy to use. I highly recommend it.",Positive Feedback
"A handy and perfect tool for UX Audits. Loved its features and definitely going to use it in future projects. However, I would love to have more control over Project Reports (include or exclude certain attributes), assign tags with Heurios and have more Sharing Controls.",Feature Requests
"Works perfectly! Just started using it with my team for website review.",Positive Feedback
"It's not working anymore for me. Every time I try to enable the extension, a blank heurio app browser pops up and the getting started button loads endlessly",Negative Feedback or Complaints
"Great tool! Huge timesaver when giving feedback on a site. Wish you could assign tasks/feedback to specific individuals but still fantastic.",Feature Requests
"Really nice for collaboration, reviews with team ! I love it",Positive Feedback
"Nice features and easy collaboration",Positive Feedback
"Love this! It is just what I needed for my team. The only suggestion I got was having an option for dev to check off the edits they've made on the page already in addition to the person who commented. Such a great idea and extension. I would love to be able to group certain projects together so it can be organized and like above, see it be integrated with pm platforms.",Feature Requests
"Super cool product that has made the entire feedback process extremely easy. I'll be using this on all my projects going forward.",Usability & Workflow
"Really good! Easily tool for UX Heuristics",Positive Feedback
"Great app. Been looking for a solution like this one. No unnecessary hype and crazy landing pages but a working and useful app. Great features and unbeatable pricing at the time of this review. Thank you!",Positive Feedback
"Great tool, easy to use and nice UX, the analytics part is really useful!",Positive Feedback
"Hello Heurio Team, I love the program but not sure if it's common, but the guideline seems to be cut off mid sentence! Please resolve this :D",Feature Requests
"Genius thing!",Positive Feedback
"It makes my communication and project management with the client easier. Congratulations.",Usability & Workflow
"Best tools so far, love it. hope it will available on smart phone where I can review my app.",Feature Requests
"So useful! The team loves this",Positive Feedback
"I really love using this app. It's life changing when I have to review websites with clients and take notes.",Positive Feedback
"Super nice app to quickly assess a website. I would like to see a more compact list of notes and suggestions when exporting."
"I wasn't actually even able to get started, this isn't very intuitive...",Negative Feedback or Complaints
"We used this app the very first time. We immediately understood its advantages in an intuitive manner. We are so happy that this little tool made our lives so much easier.",Usability & Workflow
"Turning \"t h e  i n t e r n e t\" into our own UX playground. Amazing!",Positive Feedback
"Handy tool to conduct UX evaluation not only for desktop products, but also for other devices with various screen size. I see that the product gradually improves. I hope the team can solve how we can add other collaborators to a project.",Feature Requests
"Pretty handy tool, no more printscreens and red circles, love it!",Positive Feedback
"Very easy to use, and more robust than I expected. Easy to do quick heuristic evaluations and share with the team.",Usability & Workflow
"Well designed and useful tool for UI and UX feedbacks!!! The best one",Positive Feedback
"I really like the overall experience of this tool. It's very easy to use and also you can save a lot of time make and leave any kind of UX analysis and collaboration for a website/application. Heurio team provides an awesome support. It's high recommended. Kudos for this awesome work.",Usability & Workflow
"Another one of those extensions that COULD have been perfect but it forces you to make an account. This could have worked without the need of an account, really dont see the reason why I need to make some account for this. I just used a disposable 10 minute mail account, dumb extension....",Feature Requests
"Was working great until it stopped saving screenshots to comments.",Feature Requests
"Beautiful, easy to use, I'm using for a few projects now and I haven't even thought about looking for an alternative, so its working pretty great :)",Performance & Accuracy
"One of the UI/UX analysis tools I really enjoy using! Like, it's easy to backtrack on where you have you placed your feedback. However, would it be possible that you add a comment feature (like, your fellow project owner could reply back to the comment you made)? Thank you so much!",Feature Requests
"Great for UX research collaboration. Really clear and simple tool to use. I recommend it.",Positive Feedback
"I really like using this tool. I don't have to take notes or screenshots if I want to explain something to another member of the team. Heur.io simply puts a new layer on the web page and it's like taking notes on a transparent layer. The rest of the team, the designer, the marketer sees everything in one place and solves it instantly. It has saved us a lot of time and its structure is becoming more and more transparent and logical."
"Loved the app - helped us streamline the communication within the team and saved countless hours while developing our website and web application front-end",Positive Feedback
"This tool is amazing & easy to use, got everything designers needed for the website review especially the heuristic evaluation option.. Highly recommended !",Positive Feedback
"As a designer I find it particularly helpful to receive feedback from my team as well as provide feedback to the devs. You can comment right on the object you're referring to making it easy to communicate tasks. No need for complicated tickets or documents. Each comment is neatly organized and presented from most to least important making it easy for the devs to tackle. In the future, I would love to see some integration with project management platforms.",Performance & Accuracy
"Great easy to use extension for UX analysis on any website!",Usability & Workflow
